City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carauari,BR,90.59,broken clouds,-4.8828,-66.8958,Hotel Fellip
1,Vaini,TO,78.96,moderate rain,-21.2,-175.2,Keleti Beach Resort
2,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
10,Rikitea,PF,75.54,broken clouds,-23.1203,-134.9692,People ThankYou
17,Botucatu,BR,84.87,few clouds,-22.8858,-48.445,Primar Plaza Hotel
18,Kudahuvadhoo,MV,82.47,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
24,Butaritari,KI,82.62,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
25,Karratha,AU,88.12,few clouds,-20.7377,116.8463,ibis Styles Karratha
31,Isangel,VU,77.59,overcast clouds,-19.55,169.2667,Tanna Lodge
33,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Castro,BR,81.39,clear sky,-24.7911,-50.0119,CHACARA BAILLY
40,Novo Aripuana,BR,88.47,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
44,Saint-Joseph,RE,79.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
56,Sao Filipe,CV,76.89,overcast clouds,14.8961,-24.4956,Hotel Xaguate
73,Inhambane,MZ,78.4,scattered clouds,-23.865,35.3833,Oceano
76,Barra Do Corda,BR,80.73,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
78,San-Pedro,CI,80.87,broken clouds,4.7485,-6.6363,Hotel Maria
93,Kavaratti,IN,81.48,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
97,Takoradi,GH,81.64,broken clouds,4.8845,-1.7554,Raybow International Hotel
98,Los Algarrobos,PA,84.45,few clouds,8.5,-82.4333,Waterfall Hostel
101,Lorengau,PG,83.14,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
102,Bubaque,GW,81.5,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
106,Padang,ID,78.37,overcast clouds,-0.9492,100.3543,Mercure Padang
107,San Patricio,US,82.49,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
119,Acajutla,SV,88.63,few clouds,13.5928,-89.8275,asi es
121,Bousse,BF,94.57,scattered clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
123,Kieta,PG,79.03,light rain,-6.2167,155.6333,Uruna Bay Retreat
128,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
129,Atuona,PF,78.22,scattered clouds,-9.8,-139.0333,Villa Enata
130,Luwuk,ID,78.58,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
142,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
143,Benguela,AO,77.58,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
149,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
150,Arraial Do Cabo,BR,80.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
153,Vao,NC,76.69,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
155,Balikpapan,ID,75.78,heavy intensity rain,-1.2675,116.8289,ibis Balikpapan
156,San Pedro,PH,76.32,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
162,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
166,Mayumba,GA,78.51,overcast clouds,-3.432,10.6554,LIKWALE LODGE
179,Vanimo,PG,78.22,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
183,Sabang,ID,81.14,broken clouds,5.8933,95.3214,Hotel Citra
184,Yulara,AU,78.64,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
185,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
188,Omboue,GA,78.85,overcast clouds,-1.5746,9.2618,Hotel Olako
192,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
193,Kango,GA,79.07,broken clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
195,Souillac,MU,79.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
201,Bengkulu,ID,75.9,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
