City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carauari,BR,2021-12-04 17:55:02,-4.8828,-66.8958,90.59,53,73,2.62,broken clouds
1,Vaini,TO,2021-12-04 17:55:03,-21.2,-175.2,78.96,94,40,8.05,moderate rain
2,Avarua,CK,2021-12-04 17:55:03,-21.2078,-159.775,75.25,94,100,3.44,overcast clouds
3,Hare Bay,CA,2021-12-04 17:55:04,48.8499,-54.0148,29.55,49,62,17.67,broken clouds
4,Ushuaia,AR,2021-12-04 17:55:04,-54.8,-68.3,62.26,27,75,13.8,broken clouds
5,Ponta Do Sol,PT,2021-12-04 17:55:05,32.6667,-17.1,66.13,59,84,10.04,broken clouds
6,Port Hardy,CA,2021-12-04 17:55:05,50.6996,-127.4199,37.76,100,75,3.44,light intensity shower rain
7,Olafsvik,IS,2021-12-04 17:55:06,64.8945,-23.7142,35.01,78,75,6.17,broken clouds
8,Solnechnyy,RU,2021-12-04 17:55:06,50.7214,136.6319,-5.17,91,43,6.93,scattered clouds
9,Port Lincoln,AU,2021-12-04 17:52:05,-34.7333,135.8667,57.27,81,71,12.59,broken clouds
10,Rikitea,PF,2021-12-04 17:55:07,-23.1203,-134.9692,75.54,73,60,12.39,broken clouds
11,Petropavlovsk-Kamchatskiy,RU,2021-12-04 17:55:07,53.0452,158.6483,28.99,100,75,0.0,light shower snow
12,Datong,CN,2021-12-04 17:53:11,40.0936,113.2914,28.87,36,0,3.96,clear sky
13,Albany,US,2021-12-04 17:55:08,42.6001,-73.9662,40.8,67,88,1.01,overcast clouds
14,Airai,TL,2021-12-04 17:55:08,-8.9266,125.4092,62.06,93,100,1.88,overcast clouds
15,Atherton,GB,2021-12-04 17:55:09,53.5237,-2.4935,43.43,86,100,20.0,moderate rain
16,Agadez,NE,2021-12-04 17:53:41,19.75,10.25,70.03,17,11,10.18,few clouds
17,Botucatu,BR,2021-12-04 17:55:09,-22.8858,-48.445,84.87,33,12,1.97,few clouds
18,Kudahuvadhoo,MV,2021-12-04 17:55:10,2.6708,72.8944,82.47,77,24,12.5,few clouds
19,Uige,AO,2021-12-04 17:55:10,-7.6087,15.0613,69.42,97,97,3.8,light rain
20,Sitka,US,2021-12-04 17:55:11,57.0531,-135.33,28.98,78,15,0.69,few clouds
21,Umm Kaddadah,SD,2021-12-04 17:55:11,13.6017,26.6876,79.65,20,0,10.54,clear sky
22,Ketchikan,US,2021-12-04 17:55:12,55.3422,-131.6461,29.12,90,41,4.56,scattered clouds
23,Tilichiki,RU,2021-12-04 17:55:12,60.4667,166.1,18.91,95,100,9.73,light snow
24,Butaritari,KI,2021-12-04 17:55:13,3.0707,172.7902,82.62,77,33,16.35,scattered clouds
25,Karratha,AU,2021-12-04 17:55:13,-20.7377,116.8463,88.12,29,20,15.73,few clouds
26,Punta Arenas,CL,2021-12-04 17:52:27,-53.15,-70.9167,55.51,67,75,19.57,broken clouds
27,Bethel,US,2021-12-04 17:55:14,41.3712,-73.414,47.73,59,26,1.99,scattered clouds
28,Oyotun,PE,2021-12-04 17:55:14,-6.8519,-79.3036,71.19,47,84,9.73,broken clouds
29,Wajima,JP,2021-12-04 17:55:14,37.4,136.9,40.23,69,98,11.05,overcast clouds
30,Norman Wells,CA,2021-12-04 17:55:15,65.282,-126.8329,-39.96,67,20,2.3,few clouds
31,Isangel,VU,2021-12-04 17:55:15,-19.55,169.2667,77.59,85,92,9.51,overcast clouds
32,Severo-Kurilsk,RU,2021-12-04 17:55:16,50.6789,156.125,33.08,75,89,30.96,light snow
33,Mahebourg,MU,2021-12-04 17:55:16,-20.4081,57.7,79.25,83,20,6.91,few clouds
34,Klaksvik,FO,2021-12-04 17:55:17,62.2266,-6.589,36.52,56,100,18.77,overcast clouds
35,Tuktoyaktuk,CA,2021-12-04 17:55:17,69.4541,-133.0374,-23.8,76,1,5.75,clear sky
36,Castro,BR,2021-12-04 17:55:18,-24.7911,-50.0119,81.39,37,4,5.3,clear sky
37,Setermoen,NO,2021-12-04 17:55:18,68.861,18.3486,-9.44,92,23,9.17,few clouds
38,Chuy,UY,2021-12-04 17:55:19,-33.6971,-53.4616,71.33,65,100,12.5,overcast clouds
39,Maniitsoq,GL,2021-12-04 17:55:19,65.4167,-52.9,37.45,87,100,14.85,light rain
