City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ancud,CL,2021-12-02 08:08:11,-41.8697,-73.8203,38.73,80,40,4.94
1,Bredasdorp,ZA,2021-12-02 08:08:11,-34.5322,20.0403,59.29,57,57,13.6
2,Avarua,CK,2021-12-02 08:03:20,-21.2078,-159.775,77.05,88,40,18.41
3,Hobart,AU,2021-12-02 08:08:12,-42.8794,147.3294,63.27,93,75,1.99
4,Fortuna,US,2021-12-02 08:08:12,40.5982,-124.1573,51.98,70,90,0.0
5,Puerto Ayora,EC,2021-12-02 08:08:13,-0.7393,-90.3518,67.6,90,21,7.45
6,Oromocto,CA,2021-12-02 08:08:13,45.8351,-66.4792,21.94,92,50,5.01
7,Cherskiy,RU,2021-12-02 08:08:13,68.75,161.3,-33.18,98,29,6.02
8,Santa Fe,AR,2021-12-02 08:05:05,-31.6333,-60.7,66.02,74,0,1.99
9,Mahebourg,MU,2021-12-02 08:08:14,-20.4081,57.7,85.24,71,21,14.52
10,Chittaurgarh,IN,2021-12-02 08:08:14,24.8833,74.6333,66.24,44,100,7.43
11,Shingu,JP,2021-12-02 08:08:15,33.7333,135.9833,46.45,69,0,4.52
12,Kapaa,US,2021-12-02 08:08:15,22.0752,-159.319,77.32,83,40,4.0
13,Kununurra,AU,2021-12-02 08:05:30,-15.7667,128.7333,107.58,15,62,4.61
14,Punta Arenas,CL,2021-12-02 08:08:16,-53.15,-70.9167,42.12,81,20,4.61
15,Jamestown,US,2021-12-02 08:06:16,42.097,-79.2353,43.92,98,90,7.0
16,Ushuaia,AR,2021-12-02 08:08:16,-54.8,-68.3,35.53,95,25,5.61
17,Marsabit,KE,2021-12-02 08:08:17,2.3284,37.9899,72.52,62,49,17.94
18,Cape Town,ZA,2021-12-02 08:08:17,-33.9258,18.4232,68.09,62,68,15.97
19,Krasnoselkup,RU,2021-12-02 08:08:17,65.7,82.4667,6.39,94,100,17.16
20,Chuy,UY,2021-12-02 08:08:18,-33.6971,-53.4616,59.9,78,70,4.38
21,Saint George,US,2021-12-02 08:07:13,37.1041,-113.5841,59.34,34,1,3.44
22,Rikitea,PF,2021-12-02 08:08:18,-23.1203,-134.9692,75.61,77,0,18.23
23,Thompson,CA,2021-12-02 08:04:35,55.7435,-97.8558,-12.66,94,88,4.5
24,Waingapu,ID,2021-12-02 08:08:19,-9.6567,120.2641,83.91,72,100,4.36
25,Deer Lake,CA,2021-12-02 08:08:19,49.1667,-57.4316,28.04,95,33,5.66
26,Sangar,RU,2021-12-02 08:08:20,63.9242,127.4739,-31.27,96,64,7.49
27,Lebu,CL,2021-12-02 08:06:37,-37.6167,-73.65,52.66,82,100,16.8
28,Tuatapere,NZ,2021-12-02 08:08:20,-46.1333,167.6833,57.81,80,99,1.21
29,Dunedin,NZ,2021-12-02 08:08:04,-45.8742,170.5036,57.16,91,100,13.85
30,Maragogi,BR,2021-12-02 08:08:21,-9.0122,-35.2225,76.93,83,90,7.78
31,Chokurdakh,RU,2021-12-02 08:08:22,70.6333,147.9167,-42.29,100,55,2.04
32,Bambous Virieux,MU,2021-12-02 08:08:22,-20.3428,57.7575,85.21,71,16,14.99
33,Ampanihy,MG,2021-12-02 08:08:22,-24.7,44.75,97.25,29,0,5.82
34,Green River,US,2021-12-02 08:08:23,41.5286,-109.4662,41.4,73,0,3.44
35,Burnie,AU,2021-12-02 08:08:23,-41.0667,145.9167,66.94,75,88,8.77
36,Pangnirtung,CA,2021-12-02 08:08:24,66.1451,-65.7125,-3.01,96,25,6.2
37,Klyuchi,RU,2021-12-02 08:08:24,52.2667,79.1667,29.91,75,2,10.16
38,Butaritari,KI,2021-12-02 08:08:24,3.0707,172.7902,82.22,73,10,8.9
39,Faanui,PF,2021-12-02 08:08:25,-16.4833,-151.75,80.22,74,100,16.67
40,Provideniya,RU,2021-12-02 08:08:25,64.3833,-173.3,-3.89,78,55,6.89
41,Praya,CV,2021-12-02 08:08:25,14.9215,-23.5087,72.14,78,90,19.57
42,Iqaluit,CA,2021-12-02 08:08:26,63.7506,-68.5145,18.7,79,100,4.0
43,Mataura,NZ,2021-12-02 08:08:26,-46.1927,168.8643,57.47,76,100,2.21
